Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),engine_no
Volvo XC60,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338,98447
Skoda Kodiaq,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,83894
Audi A4,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,88174
BMW X3,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,91712
BMW Z4,YUKON XL,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,25032
BMW 3 Series Gran Limousine,YUKON XL,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,75309
Nissan Kicks,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,48006
Mahindra Marazzo,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,17966
Mercedes-Benz C-Class,ACCORD,MID-SIZE,2.4,4,AV,X,9,6.6,7.9,36,182,29094
BMW X6,ACCORD,MID-SIZE,2.4,4,AV7,X,9.1,6.9,8.1,35,186,78134
Mahindra Alturas G4,ACCORD,MID-SIZE,2.4,4,M6,X,10.1,6.9,8.7,32,200,51173
Bajaj Qute (RE60),ACCORD,MID-SIZE,3.5,6,A6,X,11,6.8,9.1,31,209,58167
Volkswagen Vento,ACCORD,MID-SIZE,3.5,6,AS6,X,11.4,7.3,9.6,29,221,58759
Audi Q5,ACCORD,MID-SIZE,3.5,6,M6,X,13,8.4,10.9,26,251,94884
Ferrari Roma,ACCORD HYBRID,MID-SIZE,2,4,AV,X,4.7,4.9,4.8,59,110,64863
MG ZS EV,CIVIC,COMPACT,1.8,4,AV,X,7.9,6,7,40,161,92871
BMW 7 Series,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166,43445
Mercedes-Benz E-Class,CIVIC,COMPACT,1.8,4,M5,X,8.5,6.6,7.6,37,175,70970
BMW i4,CROSSTOUR AWD,SUV - SMALL,3.5,6,A6,X,12.5,8.5,10.7,26,246,19061
Land Rover Range Rover Sport,CR-V,SUV - SMALL,2.4,4,A5,X,10.3,7.6,9.1,31,209,23886
Jaguar F-TYPE,CR-V AWD,SUV - SMALL,2.4,4,A5,X,10.6,7.9,9.4,30,216,36800
Datsun redi-GO,CR-Z,TWO-SEATER,1.5,4,AV7,X,6.6,6,6.3,45,145,27390
BMW 2 Series,CR-Z,TWO-SEATER,1.5,4,M6,X,7.6,6.1,6.9,41,159,69780
Isuzu D-Max,FIT,STATION WAGON - SMALL,1.5,4,A5,X,8.3,6.5,7.5,38,172,75765
BMW 5 Series,FIT,STATION WAGON - SMALL,1.5,4,M5,X,8.3,6.9,7.7,37,177,31600
Audi Q2,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3,8.5,10.6,27,244,17267
Mercedes-Benz GLS,PILOT,SUV - SMALL,3.5,6,A5,X,13.3,9.3,11.5,25,265,24116
Porsche Cayenne,PILOT AWD,SUV - SMALL,3.5,6,A5,X,13.9,9.7,12,24,276,67001
Citroen C5 Aircross,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A5,X,15.2,11.3,13.4,21,308,88033
Datsun GO,ACCENT,COMPACT,1.6,4,A6,X,8.8,6.3,7.7,37,177,18970
Volvo S60,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177,48771
Porsche Macan,ELANTRA GT,MID-SIZE,2,4,A6,X,9.8,7.2,8.6,33,198,29649
Jaguar XE,ELANTRA GT,MID-SIZE,2,4,M6,X,9.8,7,8.5,33,196,93280
BYD E6,EQUUS,FULL-SIZE,5,8,A8,Z,15.7,10.2,13.2,21,304,48103
Jaguar F-Pace,GENESIS,FULL-SIZE,3.8,6,A8,X,13,8.7,11.1,25,255,77542
Tata Tiago NRG,SANTA FE,SUV - SMALL,3.3,6,A6,X,13,9.1,11.2,25,258,97651
Mahindra KUV 100 NXT,SANTA FE 4WD,SUV - SMALL,3.3,6,A6,X,13.3,9.5,11.6,24,267,37913
Mini Cooper SE,SANTA FE SPORT,SUV - SMALL,2.4,4,A6,X,11.6,8.7,10.3,27,237,21905
Audi e-tron,SANTA FE SPORT 4WD,SUV - SMALL,2,4,A6,X,12.9,9.7,11.5,25,264,29041
Datsun GO Plus,SANTA FE SPORT 4WD,SUV - SMALL,2.4,4,A6,X,12.5,9.4,11.1,25,255,81086
Mercedes-Benz AMG G 63,SONATA,FULL-SIZE,2,4,A6,X,11.4,7.5,9.6,29,221,24020
Mercedes-Benz AMG GT,SONATA,FULL-SIZE,2.4,4,A6,X,9.8,7,8.5,33,196,32416
Lexus ES,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143,22189
Porsche Taycan,SONATA HYBRID LIMITED,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145,31555
Lexus LS,TUCSON,SUV - SMALL,2,4,A6,X,10.2,8.2,9.3,30,214,61784
Rolls-Royce Cullinan,TUCSON,SUV - SMALL,2,4,M6,X,11.4,8.6,10.1,28,232,16568
Isuzu MU-X,TUCSON,SUV - SMALL,2.4,4,A6,X,11.3,8.3,10,28,230,27828
BMW iX,TUCSON 4WD,SUV - SMALL,2,4,A6,X,11.4,9.3,10.5,27,242,75284
Bentley Flying Spur,TUCSON 4WD,SUV - SMALL,2.4,4,A6,X,11.6,9.3,10.6,27,244,76076
Mercedes-Benz S-Class,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177,93443
Maserati Quattroporte,VELOSTER,COMPACT,1.6,4,M6,X,9.1,6.7,8,35,184,98620
Jaguar XF,VELOSTER TURBO,COMPACT,1.6,4,A6,X,9.9,7.5,8.8,32,202,56634
Mercedes-Benz GLC,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7,7.1,8.5,33,196,74154
Ferrari Portofino,Q50,MID-SIZE,3.7,6,AS7,Z,12,8,10.2,28,235,58209
Mercedes-Benz Maybach S-Class,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.6,8.7,10.8,26,248,39676
Maserati Levante,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172,60823
Tata Yodha Pickup,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.5,8.2,34,189,50956
Aston Martin DBX,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265,51197
Bentley Continental,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,13.6,9.3,11.7,24,269,32562
Mercedes-Benz EQS,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,M6,Z,14.3,9.8,12.3,23,283,52067
Ferrari 812,Q60 COUPE,SUBCOMPACT,3.7,6,AS7,Z,12.9,8.9,11.1,25,255,37082
Audi RS7,Q60 COUPE,SUBCOMPACT,3.7,6,M6,Z,13.5,9.3,11.6,24,267,15815
Mercedes-Benz AMG GLE 63 S,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253,73679
Mclaren GT,Q70,MID-SIZE,5.6,8,AS7,Z,14.5,9.5,12.3,23,283,91997
Mercedes-Benz G-Class,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,13.2,9.6,11.6,24,267,94680
Nissan GT-R,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,15,10.2,12.8,22,294,22771
BMW M2,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,8,7,7.6,37,175,53010
Mahindra E Verito,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.6,9.6,11.8,24,271,56753
Rolls Royce Wraith,QX60,SUV - SMALL,3.5,6,AV,Z,11.9,9,10.6,27,244,40113
Mercedes-Benz V-Class,QX60 AWD,SUV - SMALL,3.5,6,AV,Z,12.3,9.3,11,26,253,15639
Porsche 911,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV,X,8.8,8.2,8.5,33,196,82215
Porsche Panamera,QX70 AWD,SUV - SMALL,3.7,6,AS7,Z,14.5,10.7,12.8,22,294,77959
Mini Cooper Convertible,QX70 AWD,SUV - SMALL,5,8,AS7,Z,16.6,11.9,14.5,19,334,76260
Maserati Ghibli,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4,12.1,15,19,345,46867
Lexus NX,F-TYPE CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,11.8,8.4,10.3,27,237,17783
Land Rover Discovery Sport,F-TYPE S CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,12.2,8.7,10.6,27,244,51829
Bentley Bentayga,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5,8,AS8,Z,15,10.2,12.8,22,294,91071
Ferrari SF90 Stradale,XF,MID-SIZE,2,4,AS8,Z,12.3,8.2,10.5,27,242,19724
Strom Motors R3,XF 3.0L AWD,MID-SIZE,3,6,AS8,Z,14.7,9.1,12.2,23,281,92357
Lexus LC 500h,XFR,MID-SIZE,5,8,AS8,Z,15.7,10.3,13.3,21,306,80872
Maserati GranTurismo,XFR,MID-SIZE,5,8,AS8,E,21.3,14.1,18.1,16,290,28918
Ferrari F8 Tributo,XFR-S,MID-SIZE,5,8,AS8,Z,15.7,10.3,13.3,21,306,52589
Mercedes-Benz GLE,XJ AWD,FULL-SIZE,3,6,AS8,Z,14.6,9.6,12.4,23,285,43519
BMW M4 Competition,XJ SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306,75524
BMW 8 Series,XJ SUPERCHARGED,FULL-SIZE,5,8,AS8,E,20.6,13.6,17.5,16,280,90648
Mini Cooper Countryman,XJL AWD PORTFOLIO,FULL-SIZE,3,6,AS8,Z,14.7,9.6,12.4,23,285,89008
Mercedes-Benz A-Class Limousine,XJL SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306,88056
Maserati GranCabrio,XJL SUPERCHARGED,FULL-SIZE,5,8,AS8,E,20.6,13.6,17.5,16,280,74520
Mercedes-Benz AMG GLE 53,XJR,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306,18629
Aston Martin Vantage,XJR LWB,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306,27965
Mercedes-Benz EQC,XK CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.1,10.6,13.1,22,301,35776
Mercedes-Benz AMG C 43,XK COUPE,MINICOMPACT,5,8,AS6,Z,14.8,9.9,12.6,22,290,98195
Lexus RX,XKR CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9,10.9,13.7,21,315,87315
Hyundai Xcent Prime,XKR COUPE,MINICOMPACT,5,8,AS6,Z,15.6,10.9,13.5,21,310,59026
Jaguar I-Pace,XKR-S CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9,10.9,13.7,21,315,33714
Rolls Royce Dawn,XKR-S COUPE,MINICOMPACT,5,8,AS6,Z,15.6,10.9,13.5,21,310,33231
BMW X5 M,CHEROKEE,SUV - SMALL,2.4,4,A9,X,10.9,7.7,9.5,30,218,15786
Lamborghini Huracan EVO,CHEROKEE,SUV - SMALL,3.2,6,A9,X,12.3,8.3,10.5,27,242,24557
Mini Cooper 3 DOOR,CHEROKEE 4X4,SUV - SMALL,2.4,4,A9,X,11.3,8.3,10,28,230,32366
Mercedes-Benz CLS,CHEROKEE 4X4,SUV - SMALL,3.2,6,A9,X,12.5,8.8,10.8,26,248,68047
Mahindra Bolero PikUp ExtraLong,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4,8.6,10.1,28,232,24417
Lexus LX,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.5,9.1,11,26,253,31781
Mercedes-Benz AMG GLC 43,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,2.4,4,A9,X,12.1,9.4,10.9,26,251,64777
Mahindra Bolero Camper,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6,A9,X,13.4,9.5,11.6,24,267,45990
Tata Nexon EV Max,COMPASS,SUV - SMALL,2,4,AV,X,10.7,8.8,9.9,29,228,39199
Mahindra Bolero Neo,COMPASS,SUV - SMALL,2,4,A6,X,11.1,8.3,9.8,29,225,68730
Mahindra Bolero Neo,COMPASS,SUV - SMALL,2,4,M5,X,10.2,7.8,9.1,31,209,33020
Audi e-tron GT,COMPASS,SUV - SMALL,2.4,4,A6,X,11.1,8.3,9.8,29,225,15741
Maruti Swift Dzire Tour,COMPASS,SUV - SMALL,2.4,4,M5,X,10.3,8.3,9.4,30,216,35330
Mercedes-Benz AMG A 35,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235,18960
Mercedes-Benz GLC Coupe,COMPASS 4X4,SUV - SMALL,2.4,4,M5,X,10.3,8.4,9.4,30,216,87677
Toyota Glanza,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255,73129
Toyota Glanza,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,11.7,14.8,19,340,67414
Porsche Cayenne Coupe,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3,6,A8,D,11.2,8.4,9.9,29,267,62677
Porsche Cayenne Coupe,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278,59584
Honda City Hybrid,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13,15.6,18,250,27346
Compass Trailhawk,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5,12.6,15.8,18,363,99929
Jeep Meridian,PATRIOT,SUV - SMALL,2,4,AV,X,10.7,8.8,9.9,29,228,27466
Mercedes-Benz AMG A 45 S,PATRIOT,SUV - SMALL,2,4,A6,X,11.1,8.3,9.8,29,225,34505
BMW 3 Series Gran Limousine,PATRIOT,SUV - SMALL,2,4,M5,X,10.2,7.8,9.1,31,209,61532
MG Hector Plus,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.1,8.3,9.8,29,225,55346
Audi RS Q8,PATRIOT,SUV - SMALL,2.4,4,M5,X,10.3,8.3,9.4,30,216,43831
Maruti Alto 800 tour,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235,37399
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.3,8.4,9.4,30,216,70641
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255,64399
JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22,294,31112
JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,M6,X,14.2,11,12.8,22,294,94410
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,A5,X,14.8,11.7,13.4,21,308,43395
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,M6,X,15,11.4,13.4,21,308,72818
KIA,CADENZA,FULL-SIZE,3.3,6,A6,X,12.7,8.8,10.9,26,251,30162
KIA,FORTE,MID-SIZE,1.8,4,A6,X,9.6,6.6,8.3,34,191,23438
KIA,FORTE,MID-SIZE,1.8,4,M6,X,9.3,6.4,8,35,184,80535
KIA,FORTE,MID-SIZE,2,4,A6,X,9.8,6.6,8.4,34,193,44393
KIA,FORTE,MID-SIZE,2,4,M6,X,9.7,6.8,8.4,34,193,96754
KIA,FORTE 5,FULL-SIZE,1.6,4,A6,X,11.1,8,9.7,29,223,18165
KIA,FORTE 5,FULL-SIZE,1.6,4,M6,X,11.1,8.2,9.8,29,225,95751
KIA,FORTE 5,FULL-SIZE,2,4,A6,X,9.7,6.8,8.4,34,193,94758
KIA,FORTE 5,FULL-SIZE,2,4,M6,X,9.8,7,8.5,33,196,42078
KIA,FORTE KOUP,COMPACT,1.6,4,A6,X,10.6,7.9,9.4,30,216,34754
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.8,8.1,9.6,29,221,31675
KIA,FORTE KOUP,COMPACT,2,4,A6,X,9.6,7,8.4,34,193,55211
KIA,FORTE KOUP,COMPACT,2,4,M6,X,9.8,7.2,8.6,33,198,17338
KIA,OPTIMA,MID-SIZE,2,4,A6,X,11.7,7.6,9.9,29,228,40554
KIA,OPTIMA,MID-SIZE,2.4,4,A6,X,10.2,6.8,8.7,32,200,76489
KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143,51432
KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4,AS6,X,6.7,6,6.4,44,147,46091
KIA,RIO,COMPACT,1.6,4,A6,X,8.7,6.3,7.6,37,175,27881
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177,72906
KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5,6.4,7.6,37,175,29192
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,A6,X,10.5,7.5,9.2,31,212,68681
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,M6,X,10.8,7.4,9.3,30,214,98404
KIA,SEDONA,MINIVAN,3.5,6,A6,X,13.7,9.9,12,24,276,49206
KIA,SORENTO,SUV - SMALL,2.4,4,A6,X,11.8,8.5,10.3,27,237,71920
KIA,SORENTO,SUV - SMALL,3.3,6,A6,X,12.9,9.5,11.4,25,262,69863
KIA,SORENTO 4WD,SUV - SMALL,2.4,4,A6,X,12.3,9.3,11,26,253,27579
KIA,SORENTO 4WD,SUV - SMALL,3.3,6,A6,X,13.4,9.9,11.8,24,271,67655
KIA,SOUL,STATION WAGON - SMALL,1.6,4,A6,X,9.8,7.9,8.9,32,205,57442
KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.9,7.8,9,31,207,72633
KIA,SOUL,STATION WAGON - SMALL,2,4,A6,X,10.1,7.8,9.1,31,209,47709
KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2,4,A6,X,9.7,7.8,8.8,32,202,55481
KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4,8.3,10,28,230,92383
KIA,SPORTAGE,SUV - SMALL,2.4,4,M6,X,12.9,9.3,11.3,25,260,36940
KIA,SPORTAGE AWD,SUV - SMALL,2,4,A6,X,12.7,9.7,11.4,25,262,57912
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,A6,X,12,9.1,10.7,26,246,27576
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421,50596
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,A6,Z,18,12.8,15.7,18,361,97263
LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,M6,Z,20.6,13.5,17.4,16,400,35905
LAND ROVER,LR2,SUV - SMALL,2,4,AS6,Z,13.5,9.9,11.9,24,274,30123
LAND ROVER,LR4,SUV - STANDARD,3,6,AS8,Z,16.3,12.4,14.5,19,334,83966
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.8,29,225,18919
LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.8,29,225,96083
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18,12.2,15.4,18,354,33058
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1,19,347,25336
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,25,16.9,21.4,13,342,86831
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.2,10.2,12.4,23,285,62096
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.2,10.2,12.4,23,285,50015
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,E,19.4,14.9,17.4,16,278,18810
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,17.3,12.2,15,19,345,92336
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,16.6,12.3,14.7,19,338,51319
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,24,16.6,20.7,14,331,29627
LAND ROVER,RANGE ROVER V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.1,10.1,12.3,23,283,67936
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.1,10.1,12.3,23,283,89980
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,E,19.4,14.8,17.3,16,277,57418
LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18,12.2,15.4,18,354,44281
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1,19,347,74947
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,E,25,16.9,21.4,13,342,90376
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.8,5.6,50,129,94300
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.2,6,47,138,24947
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.3,7.6,9.6,29,221,91984
LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,12.1,8.3,10.4,27,239,84426
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.5,9.1,11,26,253,54074
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,7.7,7.4,7.6,37,175,49829
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7,11.8,13.9,20,320,62654
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.2,7.8,9.7,29,223,62163
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4,27,239,15830
LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,11.2,7.8,9.7,29,223,19577
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.2,8.7,10.6,27,244,93978
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.5,9.1,11,26,253,90918
LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,44219
LEXUS,IS F,SUBCOMPACT,5,8,AS8,Z,14.6,10.1,12.6,22,290,47295
LEXUS,LS 460,MID-SIZE,4.6,8,AS8,Z,14.5,9.6,12.3,23,283,56424
LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,297,98032
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,297,50419
LEXUS,LS 600h L,MID-SIZE,5,8,AV8,Z,12,10.7,11.4,25,262,53151
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,18.8,13.6,16.5,17,380,67943
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.8,11.7,24,269,52845
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.7,9.1,11.1,25,255,34401
LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,7.9,8.6,8.2,34,189,56763
LINCOLN,MKS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271,35860
LINCOLN,MKS AWD,FULL-SIZE,3.7,6,AS6,X,13.1,9,11.3,25,260,88630
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294,66340
LINCOLN,MKT LIVERY,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,11.5,8.5,10.2,28,235,37792
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14,9.9,12.2,23,281,45596
LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281,38650
LINCOLN,MKZ,MID-SIZE,2,4,AS6,X,10.5,7.1,9,31,207,98867
LINCOLN,MKZ AWD,MID-SIZE,3.7,6,AS6,X,13.1,9.3,11.4,25,262,40542
LINCOLN,MKZ HYBRID,MID-SIZE,2,4,AV,X,6.2,6.4,6.3,45,145,89789
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16,18,368,98558
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18,21.6,13,346,63963
MASERATI,GHIBLI,MID-SIZE,3,6,AS8,Z,15.2,9.6,12.7,22,292,27214
MASERATI,GHIBLI AWD,MID-SIZE,3,6,AS8,Z,15.2,9.6,12.7,22,292,18050
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,347,82279
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.7,15.3,18,352,90625
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334,18172
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3,6,AS8,Z,15.9,9.7,13.1,22,301,40123
MAZDA,CX-5,SUV - SMALL,2,4,AS6,X,8.9,7.3,8.2,34,189,59472
MAZDA,CX-5,SUV - SMALL,2,4,M6,X,9,6.8,8,35,184,21964
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.6,7.4,8.6,33,198,58098
MAZDA,CX-5 4WD,SUV - SMALL,2,4,AS6,X,9.3,7.6,8.5,33,196,16136
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,9.8,7.9,8.9,32,205,60714
MAZDA,CX-9,SUV - SMALL,3.7,6,AS6,X,14.2,10,12.3,23,283,69787
MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,14.3,10.6,12.6,22,290,91465
MAZDA,MAZDA2,COMPACT,1.5,4,A4,X,8.4,6.9,7.7,37,177,69616
MAZDA,MAZDA2,COMPACT,1.5,4,M5,X,8,6.7,7.4,38,170,79957
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,7.9,5.7,6.9,41,159,52521
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,M6,X,8,5.8,7,40,161,72399
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,170,17531
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.3,6.1,7.3,39,168,52042
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8,5.8,7,40,161,93758
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2,4,AS6,X,8,5.9,7.1,40,163,80114
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2,4,M6,X,8.2,5.9,7.2,39,166,27979
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,8.7,6.5,7.7,37,177,68561
